record_id_eia,record_id_ferc1,signature,notes
1005_2018_plant_owned_15470,f1_hydro_2018_12_144_0_1,,
10773_2018_plant_owned_19876,f1_steam_2018_12_186_0_1,,
10774_2018_plant_owned_19876,f1_steam_2018_12_186_3_2,,
10_GT_2018_plant_prime_mover_owned_195,f1_steam_2018_12_2_1_2,,
1109_2018_plant_owned_19436,f1_hydro_2018_12_177_0_2,,
113_1_2018_plant_unit_owned_803,f1_steam_2018_12_7_0_1,,
113_3_2018_plant_unit_owned_803,f1_steam_2018_12_7_0_2,,
114_2018_plant_owned_803,f1_steam_2018_12_7_2_4,,
116_1_2018_plant_unit_owned_803,f1_steam_2018_12_7_0_5,,
116_2_2018_plant_unit_owned_803,f1_steam_2018_12_7_1_1,,
116_gt1_2018_plant_gen_owned_803,f1_steam_2018_12_7_3_3,,
116_gt2_2018_plant_gen_owned_803,f1_steam_2018_12_7_3_4,,
117_1_2018_plant_unit_owned_803,f1_steam_2018_12_7_5_1,,
117_2_2018_plant_unit_owned_803,f1_steam_2018_12_7_5_2,,
118_gt1_2018_plant_gen_owned_803,f1_steam_2018_12_7_2_5,,
118_gt2_2018_plant_gen_owned_803,f1_steam_2018_12_7_3_1,,
118_ge1_2018_plant_gen_owned_803,f1_steam_2018_12_7_3_2,,
1239_2018_plant_owned_5860,f1_steam_2018_12_51_0_2,,
1239_ST_2018_plant_prime_mover_owned_5860_retired,f1_steam_2018_12_51_0_1,,
1240_1_2018_plant_unit_owned_10005,f1_steam_2018_12_80_0_2,,
1240_GT_2018_plant_prime_mover_owned_10005,f1_steam_2018_12_191_0_2,,
1241_1_2018_plant_unit_owned_10000,f1_steam_2018_12_79_2_3,,
1241_2_2018_plant_unit_owned_10000,f1_steam_2018_12_79_2_4,,
1241_1_2018_plant_unit_owned_10005,f1_steam_2018_12_80_0_3,,
1241_2_2018_plant_unit_owned_10005,f1_steam_2018_12_80_0_4,,
1241_2018_plant_total_10000,f1_steam_2018_12_79_2_5,,
1242_2018_plant_owned_10005,f1_steam_2018_12_80_0_1,,
1248_IC_2018_plant_prime_mover_owned_22500,f1_steam_2018_12_191_1_2,,
124_2018_plant_owned_24211,f1_steam_2018_12_176_1_1,,
1250_2018_plant_owned_22500,f1_steam_2018_12_191_1_5,,
1252_1_2018_plant_gen_owned_22500_retired,f1_steam_2018_12_191_0_1,,
126_GT_2018_plant_prime_mover_owned_24211,f1_steam_2018_12_176_0_5,,
126_1_2018_plant_unit_owned_24211,f1_steam_2018_12_176_0_1,,
1353_1_2018_plant_unit_owned_22053,f1_steam_2018_12_81_0_1,,
170_2018_plant_owned_814,f1_steam_2018_12_8_0_1,,
1725_2018_plant_owned_5109,f1_steam_2018_12_44_4_2,,
1728_2018_plant_owned_5109,f1_steam_2018_12_44_3_4,,
1729_GT_2018_plant_prime_mover_owned_5109,f1_steam_2018_12_44_3_5,,
1730_2018_plant_owned_5109,f1_steam_2018_12_44_3_1,,
